"SamAccountName","ComputerName","ComputerCreationDate","ComputerChanged","SPN","DistinguishedName"
"dococ$","dococ","2/22/2010 9:29:37 AM","7/29/2019 3:23:53 PM","HOST/dococ.hs.wvu-ad.wvu.edu;HOST/DOCOC","CN=dococ,OU=Infrastructure Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"dot1x$","dot1x","2/3/2010 3:16:30 PM","3/29/2021 8:35:17 AM","HOST/dot1x.hs.wvu-ad.wvu.edu;HOST/DOT1X","CN=dot1x,OU=DisableInfrastructure,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-ITS-TG-WIN7$","HSC-ITS-TG-WIN7","12/14/2009 3:45:37 PM","7/29/2019 3:23:53 PM","RestrictedKrbHost/HSC-ITS-TG-WIN7;HOST/HSC-ITS-TG-WIN7;RestrictedKrbHost/HSC-ITS-TG-WIN7.HS.wvu-ad.wvu.edu;HOST/HSC-ITS-TG-WIN7.HS.wvu-ad.wvu.edu","CN=HSC-ITS-TG-WIN7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSVCD1$","HSVCD1","3/26/2013 3:46:43 PM","11/15/2021 4:38:05 AM","HOST/hsvcd1;HOST/hsvcd1.hs.wvu-ad.wvu.edu","CN=HSVCD1,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-HMILLER4$","MD-HMILLER4","2/17/2010 10:16:18 AM","7/29/2019 3:23:54 PM","TERMSRV/MD-HMILLER4.HS.wvu-ad.wvu.edu;TERMSRV/MD-HMILLER4;HOST/MD-HMILLER4;HOST/MD-HMILLER4.HS.wvu-ad.wvu.edu","CN=MD-HMILLER4,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-MFETTERO$","SON-MFETTERO","7/6/2010 11:09:39 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-MFETTERO;HOST/SON-MFETTERO;RestrictedKrbHost/son-mfettero.HS.wvu-ad.wvu.edu;HOST/son-mfettero.HS.wvu-ad.wvu.edu","CN=SON-MFETTERO,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-KCLEVENG$","SOP-KCLEVENG","7/29/2009 3:10:21 PM","7/29/2019 3:23:54 PM","TERMSRV/SOP-KCLEVENG.HS.wvu-ad.wvu.edu;TERMSRV/SOP-KCLEVENG;HOST/SOP-KCLEVENG;HOST/SOP-KCLEVENG.HS.wvu-ad.wvu.edu","CN=SOP-KCLEVENG,OU=SOP,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-TWILLI28$","SOP-TWILLI28","7/30/2009 3:51:45 PM","7/29/2019 3:23:54 PM","TERMSRV/SOP-TWILLI28.HS.wvu-ad.wvu.edu;TERMSRV/SOP-TWILLI28;HOST/SOP-TWILLI28;HOST/SOP-TWILLI28.HS.wvu-ad.wvu.edu","CN=SOP-TWILLI28,OU=SOP,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SOP-4F8C$","HSC-SOP-4F8C","9/8/2010 12:01:54 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/HSC-SOP-4F8C;HOST/HSC-SOP-4F8C;RestrictedKrbHost/HSC-SOP-4F8C.HS.wvu-ad.wvu.edu;HOST/HSC-SOP-4F8C.HS.wvu-ad.wvu.edu","CN=HSC-SOP-4F8C,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-RAD-HQ7JL71$","HSC-RAD-HQ7JL71","9/2/2010 12:58:57 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/HSC-RAD-HQ7JL71;HOST/HSC-RAD-HQ7JL71;RestrictedKrbHost/HSC-RAD-HQ7JL71.HS.wvu-ad.wvu.edu;HOST/HSC-RAD-HQ7JL71.HS.wvu-ad.wvu.edu","CN=HSC-RAD-HQ7JL71,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-RSUNYAK$","SON-RSUNYAK","7/8/2010 9:12:44 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-RSUNYAK;HOST/SON-RSUNYAK;RestrictedKrbHost/son-rsunyak.HS.wvu-ad.wvu.edu;HOST/son-rsunyak.HS.wvu-ad.wvu.edu","CN=SON-RSUNYAK,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-KHOLT1$","SON-KHOLT1","7/7/2010 1:38:17 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-KHOLT1;RestrictedKrbHost/son-kholt1.HS.wvu-ad.wvu.edu;HOST/SON-KHOLT1;HOST/son-kholt1.HS.wvu-ad.wvu.edu","CN=SON-KHOLT1,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"OT-BHARMAN1$","OT-BHARMAN1","6/10/2010 8:19:23 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/OT-BHARMAN1;RestrictedKrbHost/ot-bharman1.HS.wvu-ad.wvu.edu;HOST/OT-BHARMAN1;HOST/ot-bharman1.HS.wvu-ad.wvu.edu","CN=OT-BHARMAN1,OU=OT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-TJOHNS29$","PT-TJOHNS29","5/19/2010 3:15:50 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/PT-TJOHNS29;HOST/PT-TJOHNS29;RestrictedKrbHost/PT-TJOHNS29.HS.wvu-ad.wvu.edu;HOST/PT-TJOHNS29.HS.wvu-ad.wvu.edu","CN=PT-TJOHNS29,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-BANDREW$","SON-BANDREW","6/30/2010 10:28:33 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-BANDREW;RestrictedKrbHost/SON-BANDREW.HS.wvu-ad.wvu.edu;HOST/SON-BANDREW;HOST/SON-BANDREW.HS.wvu-ad.wvu.edu","CN=SON-BANDREW,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-MHATFIE3$","MD-MHATFIE3","4/23/2012 3:03:23 PM","7/29/2019 3:23:54 PM","TERMSRV/MD-MHATFIE3;TERMSRV/MD-MHATFIE3.HS.wvu-ad.wvu.edu;HOST/MD-MHATFIE3;HOST/MD-MHATFIE3.HS.wvu-ad.wvu.edu","CN=MD-MHATFIE3,OU=2014,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-JMILLE64$","SON-JMILLE64","7/7/2010 11:30:50 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-JMILLE64;HOST/SON-JMILLE64;RestrictedKrbHost/son-jmille64.HS.wvu-ad.wvu.edu;HOST/son-jmille64.HS.wvu-ad.wvu.edu","CN=SON-JMILLE64,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-BBOGGESS$","SON-BBOGGESS","6/30/2010 1:39:15 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-BBOGGESS;HOST/SON-BBOGGESS;RestrictedKrbHost/SON-BBOGGESS.HS.wvu-ad.wvu.edu;HOST/SON-BBOGGESS.HS.wvu-ad.wvu.edu","CN=SON-BBOGGESS,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVUCAMCTERM$","CWVUCAMCTERM","4/16/2013 12:44:10 PM","7/29/2019 3:23:54 PM","tapinego/CWVUCAMCTERM;tapinego/CWVUCAMCTERM.HS.wvu-ad.wvu.edu;WSMAN/CWVUCAMCTERM;WSMAN/CWVUCAMCTERM.HS.wvu-ad.wvu.edu;TERMSRV/CWVUCAMCTERM;TERMSRV/CWVUCAMCTERM.HS.wvu-ad.wvu.edu;RestrictedKrbHost/CWVUCAMCTERM;HOST/CWVUCAMCTERM;RestrictedKrbHost/CWVUCAMCTERM.HS.wvu-ad.wvu.edu;HOST/CWVUCAMCTERM.HS.wvu-ad.wvu.edu","CN=CWVUCAMCTERM,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SON-5F2F$","HSC-SON-5F2F","5/5/2010 2:06:21 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/HSC-SON-5F2F;HOST/HSC-SON-5F2F;RestrictedKrbHost/HSC-SON-5F2F.HS.wvu-ad.wvu.edu;HOST/HSC-SON-5F2F.HS.wvu-ad.wvu.edu","CN=HSC-SON-5F2F,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-MLEEKOFF$","MD-MLEEKOFF","7/20/2010 10:24:22 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/MD-MLEEKOFF;RestrictedKrbHost/md-mleekoff.HS.wvu-ad.wvu.edu;HOST/MD-MLEEKOFF;HOST/md-mleekoff.HS.wvu-ad.wvu.edu","CN=MD-MLEEKOFF,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-MBALLAR3$","SON-MBALLAR3","6/30/2010 11:49:51 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-MBALLAR3;HOST/SON-MBALLAR3;RestrictedKrbHost/SON-MBALLAR3.HS.wvu-ad.wvu.edu;HOST/SON-MBALLAR3.HS.wvu-ad.wvu.edu","CN=SON-MBALLAR3,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-SGRUBB2$","SOP-SGRUBB2","9/29/2010 10:15:52 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SOP-SGRUBB2;HOST/SOP-SGRUBB2;RestrictedKrbHost/sop-sgrubb2.HS.wvu-ad.wvu.edu;HOST/sop-sgrubb2.HS.wvu-ad.wvu.edu","CN=SOP-SGRUBB2,OU=2014,OU=SOP,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-TCHAMBE3$","SON-TCHAMBE3","6/30/2010 2:33:11 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-TCHAMBE3;RestrictedKrbHost/SON-TCHAMBE3.HS.wvu-ad.wvu.edu;HOST/SON-TCHAMBE3;HOST/SON-TCHAMBE3.HS.wvu-ad.wvu.edu","CN=SON-TCHAMBE3,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-JARNER$","MD-JARNER","1/6/2012 11:21:00 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/MD-JARNER;HOST/MD-JARNER;RestrictedKrbHost/MD-JARNER.HS.wvu-ad.wvu.edu;HOST/MD-JARNER.HS.wvu-ad.wvu.edu","CN=MD-JARNER,OU=Eastern,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-KFIDAZZ1$","SON-KFIDAZZ1","6/30/2010 3:32:57 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-KFIDAZZ1;HOST/SON-KFIDAZZ1;RestrictedKrbHost/SON-KFIDAZZ1.HS.wvu-ad.wvu.edu;HOST/SON-KFIDAZZ1.HS.wvu-ad.wvu.edu","CN=SON-KFIDAZZ1,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-CESTEP5$","SON-CESTEP5","6/30/2010 3:33:49 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-CESTEP5;RestrictedKrbHost/SON-CESTEP5.HS.wvu-ad.wvu.edu;HOST/SON-CESTEP5;HOST/SON-CESTEP5.HS.wvu-ad.wvu.edu","CN=SON-CESTEP5,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-AWILLI28$","SON-AWILLI28","7/8/2010 8:48:20 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-AWILLI28;HOST/SON-AWILLI28;RestrictedKrbHost/SON-AWILLI28.HS.wvu-ad.wvu.edu;HOST/SON-AWILLI28.HS.wvu-ad.wvu.edu","CN=SON-AWILLI28,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-DZATEZA1$","SON-DZATEZA1","7/8/2010 9:27:52 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-DZATEZA1;RestrictedKrbHost/SON-DZATEZA1.HS.wvu-ad.wvu.edu;HOST/SON-DZATEZA1;HOST/SON-DZATEZA1.HS.wvu-ad.wvu.edu","CN=SON-DZATEZA1,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-EBEVERAG$","SON-EBEVERAG","7/1/2010 8:51:36 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-EBEVERAG;RestrictedKrbHost/SON-EBEVERAG.HS.wvu-ad.wvu.edu;HOST/SON-EBEVERAG;HOST/SON-EBEVERAG.HS.wvu-ad.wvu.edu","CN=SON-EBEVERAG,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-GSUDDUTH$","SON-GSUDDUTH","7/8/2010 1:35:39 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-GSUDDUTH;HOST/SON-GSUDDUTH;RestrictedKrbHost/son-gsudduth.HS.wvu-ad.wvu.edu;HOST/son-gsudduth.HS.wvu-ad.wvu.edu","CN=SON-GSUDDUTH,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WL-TEST$","WL-TEST","12/13/2011 2:02:02 PM","7/29/2019 3:23:54 PM","tapinego/WL-TEST;tapinego/wl-test.HS.wvu-ad.wvu.edu;WSMAN/wl-test;WSMAN/wl-test.HS.wvu-ad.wvu.edu;RestrictedKrbHost/WL-TEST;HOST/WL-TEST;RestrictedKrbHost/WL-TEST.HS.wvu-ad.wvu.edu;HOST/WL-TEST.HS.wvu-ad.wvu.edu","CN=WL-TEST,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-JMONTEB$","SON-JMONTEB","7/7/2010 11:03:21 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-JMONTEB;HOST/SON-JMONTEB;RestrictedKrbHost/SON-JMONTEB.HS.wvu-ad.wvu.edu;HOST/SON-JMONTEB.HS.wvu-ad.wvu.edu","CN=SON-JMONTEB,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-CBELL6$","SON-CBELL6","6/30/2010 11:50:33 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-CBELL6;RestrictedKrbHost/SON-CBELL6.HS.wvu-ad.wvu.edu;HOST/SON-CBELL6;HOST/SON-CBELL6.HS.wvu-ad.wvu.edu","CN=SON-CBELL6,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-LEGGERUD$","SON-LEGGERUD","12/3/2010 1:08:55 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-LEGGERUD;HOST/SON-LEGGERUD;RestrictedKrbHost/son-leggerud.HS.wvu-ad.wvu.edu;HOST/son-leggerud.HS.wvu-ad.wvu.edu","CN=SON-LEGGERUD,OU=2013,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-EMABE$","SON-EMABE","7/7/2010 10:27:15 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-EMABE;RestrictedKrbHost/son-emabe.HS.wvu-ad.wvu.edu;HOST/SON-EMABE;HOST/son-emabe.HS.wvu-ad.wvu.edu","CN=SON-EMABE,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-HWALES$","PT-HWALES","5/19/2010 12:39:48 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/PT-HWALES;HOST/PT-HWALES;RestrictedKrbHost/PT-HWALES.HS.wvu-ad.wvu.edu;HOST/PT-HWALES.HS.wvu-ad.wvu.edu","CN=PT-HWALES,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"OT-JMARK2$","OT-JMARK2","6/10/2010 10:27:16 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/OT-JMARK2;RestrictedKrbHost/ot-jmark2.HS.wvu-ad.wvu.edu;HOST/OT-JMARK2;HOST/ot-jmark2.HS.wvu-ad.wvu.edu","CN=OT-JMARK2,OU=OT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-ESEACHRI$","MD-ESEACHRI","7/19/2010 3:07:55 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/MD-ESEACHRI;RestrictedKrbHost/md-eseachri.HS.wvu-ad.wvu.edu;HOST/MD-ESEACHRI;HOST/md-eseachri.HS.wvu-ad.wvu.edu","CN=MD-ESEACHRI,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-VSLYDER$","SOP-VSLYDER","7/30/2009 9:52:15 AM","7/29/2019 3:23:54 PM","TERMSRV/SOP-VSLYDER.HS.wvu-ad.wvu.edu;TERMSRV/SOP-VSLYDER;HOST/SOP-VSLYDER;HOST/SOP-VSLYDER.HS.wvu-ad.wvu.edu","CN=SOP-VSLYDER,OU=SOP,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-NEURO-97CC$","HS-NEURO-97CC","2/4/2010 4:12:01 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/HS-NEURO-97CC;HOST/HS-NEURO-97CC;RestrictedKrbHost/HS-NEURO-97CC.HS.wvu-ad.wvu.edu;HOST/HS-NEURO-97CC.HS.wvu-ad.wvu.edu","CN=HS-NEURO-97CC,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-SCLINE5$","SON-SCLINE5","6/30/2010 3:35:40 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-SCLINE5;RestrictedKrbHost/SON-SCLINE5.HS.wvu-ad.wvu.edu;HOST/SON-SCLINE5;HOST/SON-SCLINE5.HS.wvu-ad.wvu.edu","CN=SON-SCLINE5,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ITSWEB-LTEST2$","ITSWEB-LTEST2","5/1/2013 2:35:08 PM","3/13/2020 2:29:24 PM","WSMAN/ITSWEB-LTEST2;WSMAN/ITSWEB-LTEST2.HS.wvu-ad.wvu.edu;CmRcService/ITSWEB-LTEST2;CmRcService/ITSWEB-LTEST2.HS.wvu-ad.wvu.edu;TERMSRV/ITSWEB-LTEST2.HS.wvu-ad.wvu.edu;TERMSRV/ITSWEB-LTEST2;RestrictedKrbHost/ITSWEB-LTEST2;HOST/ITSWEB-LTEST2;RestrictedKrbHost/ITSWEB-LTEST2.HS.wvu-ad.wvu.edu;HOST/ITSWEB-LTEST2.HS.wvu-ad.wvu.edu","CN=ITSWEB-LTEST2,OU=WebDB,OU=ITS,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-SULLMAN1$","SOP-SULLMAN1","12/3/2010 3:28:30 PM","7/29/2019 3:23:54 PM","TERMSRV/SOP-SULLMAN1;TERMSRV/sop-sullman1.HS.wvu-ad.wvu.edu;HOST/SOP-SULLMAN1;HOST/sop-sullman1.HS.wvu-ad.wvu.edu","CN=SOP-SULLMAN1,OU=2013,OU=SOP,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSCPRINT$","CHSCPRINT","5/2/2013 2:11:14 PM","11/10/2021 9:53:51 PM","CmRcService/CHSCPRINT.HS.wvu-ad.wvu.edu;CmRcService/CHSCPRINT;WSMAN/CHSCPRINT.HS.wvu-ad.wvu.edu;WSMAN/CHSCPRINT;TERMSRV/CHSCPRINT.HS.wvu-ad.wvu.edu;TERMSRV/CHSCPRINT;RestrictedKrbHost/CHSCPRINT;HOST/CHSCPRINT;RestrictedKrbHost/CHSCPRINT.HS.wvu-ad.wvu.edu;HOST/CHSCPRINT.HS.wvu-ad.wvu.edu","CN=CHSCPRINT,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-RSWEEN$","SON-RSWEEN","7/8/2010 1:36:15 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-RSWEEN;RestrictedKrbHost/son-rsween.HS.wvu-ad.wvu.edu;HOST/SON-RSWEEN;HOST/son-rsween.HS.wvu-ad.wvu.edu","CN=SON-RSWEEN,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-SSTALEY$","SON-SSTALEY","7/8/2010 10:43:20 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/son-sstaley.HS.wvu-ad.wvu.edu;HOST/son-sstaley.HS.wvu-ad.wvu.edu;RestrictedKrbHost/SON-SSTALEY;HOST/SON-SSTALEY","CN=SON-SSTALEY,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-SBAILE12$","PT-SBAILE12","5/19/2010 12:05:07 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/PT-SBAILE12;HOST/PT-SBAILE12;RestrictedKrbHost/PT-SBAILE12.HS.wvu-ad.wvu.edu;HOST/PT-SBAILE12.HS.wvu-ad.wvu.edu","CN=PT-SBAILE12,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-KWEST6$","PT-KWEST6","5/19/2010 11:35:51 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/PT-KWEST6;HOST/PT-KWEST6;RestrictedKrbHost/PT-KWEST6.HS.wvu-ad.wvu.edu;HOST/PT-KWEST6.HS.wvu-ad.wvu.edu","CN=PT-KWEST6,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-KLAWREN8$","SON-KLAWREN8","7/7/2010 9:23:31 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-KLAWREN8;HOST/SON-KLAWREN8;RestrictedKrbHost/son-klawren8.HS.wvu-ad.wvu.edu;HOST/son-klawren8.HS.wvu-ad.wvu.edu","CN=SON-KLAWREN8,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-ECARPEN2$","SON-ECARPEN2","7/1/2010 9:50:10 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-ECARPEN2;RestrictedKrbHost/SON-ECARPEN2.HS.wvu-ad.wvu.edu;HOST/SON-ECARPEN2;HOST/SON-ECARPEN2.HS.wvu-ad.wvu.edu","CN=SON-ECARPEN2,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-BHUNTER3$","SON-BHUNTER3","7/7/2010 8:33:04 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-BHUNTER3;RestrictedKrbHost/son-bhunter3.HS.wvu-ad.wvu.edu;HOST/SON-BHUNTER3;HOST/son-bhunter3.HS.wvu-ad.wvu.edu","CN=SON-BHUNTER3,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-AROTILIO$","PT-AROTILIO","5/20/2010 9:46:35 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/PT-AROTILIO;HOST/PT-AROTILIO;RestrictedKrbHost/PT-AROTILIO.HS.wvu-ad.wvu.edu;HOST/PT-AROTILIO.HS.wvu-ad.wvu.edu","CN=PT-AROTILIO,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-TSTEWAR2$","SON-TSTEWAR2","7/8/2010 10:02:07 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-TSTEWAR2;RestrictedKrbHost/son-tstewar2.HS.wvu-ad.wvu.edu;HOST/SON-TSTEWAR2;HOST/son-tstewar2.HS.wvu-ad.wvu.edu","CN=SON-TSTEWAR2,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"LGENTRY$","LGENTRY","7/6/2010 2:34:53 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/LGENTRY;RestrictedKrbHost/LGENTRY.HS.wvu-ad.wvu.edu;HOST/LGENTRY;HOST/LGENTRY.HS.wvu-ad.wvu.edu","CN=LGENTRY,OU=2013,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-SROSCHEL$","SON-SROSCHEL","7/7/2010 11:04:02 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-SROSCHEL;HOST/SON-SROSCHEL;RestrictedKrbHost/SON-SROSCHEL.HS.wvu-ad.wvu.edu;HOST/SON-SROSCHEL.HS.wvu-ad.wvu.edu","CN=SON-SROSCHEL,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-SMORRIST$","PT-SMORRIST","5/20/2010 11:47:50 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/PT-SMORRIST;HOST/PT-SMORRIST;RestrictedKrbHost/PT-SMORRIST.HS.wvu-ad.wvu.edu;HOST/PT-SMORRIST.HS.wvu-ad.wvu.edu","CN=PT-SMORRIST,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-KSHEILS$","PT-KSHEILS","5/20/2010 9:21:55 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/PT-KSHEILS;RestrictedKrbHost/PT-KSHEILS.HS.wvu-ad.wvu.edu;HOST/PT-KSHEILS;HOST/PT-KSHEILS.HS.wvu-ad.wvu.edu","CN=PT-KSHEILS,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-ABARB$","PT-ABARB","5/19/2010 2:25:14 PM","7/29/2019 3:23:54 PM","RestrictedKrbHost/pt-abarb.HS.wvu-ad.wvu.edu;HOST/pt-abarb.HS.wvu-ad.wvu.edu;RestrictedKrbHost/PT-ABARB;HOST/PT-ABARB","CN=PT-ABARB,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-DWEADON$","PT-DWEADON","5/19/2010 10:43:01 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/PT-DWEADON;RestrictedKrbHost/PT-DWEADON.HS.wvu-ad.wvu.edu;HOST/PT-DWEADON;HOST/PT-DWEADON.HS.wvu-ad.wvu.edu","CN=PT-DWEADON,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-ASWAGGER$","SON-ASWAGGER","7/8/2010 9:13:29 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-ASWAGGER;RestrictedKrbHost/son-aswagger.HS.wvu-ad.wvu.edu;HOST/SON-ASWAGGER;HOST/son-aswagger.HS.wvu-ad.wvu.edu","CN=SON-ASWAGGER,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-MGRAHAM6$","SON-MGRAHAM6","7/6/2010 11:11:07 AM","7/29/2019 3:23:54 PM","RestrictedKrbHost/SON-MGRAHAM6;RestrictedKrbHost/SON-MGRAHAM6.HS.wvu-ad.wvu.edu;HOST/SON-MGRAHAM6;HOST/SON-MGRAHAM6.HS.wvu-ad.wvu.edu","CN=SON-MGRAHAM6,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
