"SamAccountName","ComputerName","ComputerCreationDate","ComputerChanged","SPN","DistinguishedName"
"HSWEB$","HSWEB","10/1/2008 11:55:08 AM","3/10/2021 2:02:26 PM","WSMAN/hsweb.HS.wvu-ad.wvu.edu;WSMAN/hsweb;HOST/HSWEB;HOST/hsweb.HS.wvu-ad.wvu.edu","CN=HSWEB,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSRDBROKER01$","HSRDBROKER01","10/17/2017 11:23:29 AM","11/18/2021 5:45:56 PM","CmRcService/HSRDBROKER01;CmRcService/HSRDBroker01.HS.wvu-ad.wvu.edu;TERMSRV/HSRDBROKER01;TERMSRV/HSRDBroker01.HS.wvu-ad.wvu.edu;WSMAN/HSRDBroker01;WSMAN/HSRDBroker01.HS.wvu-ad.wvu.edu;RestrictedKrbHost/HSRDBROKER01;HOST/HSRDBROKER01;RestrictedKrbHost/HSRDBroker01.HS.wvu-ad.wvu.edu;HOST/HSRDBroker01.HS.wvu-ad.wvu.edu","CN=HSRDBROKER01,OU=RDSH,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ROCRDBROKER01$","ROCRDBROKER01","10/17/2017 12:05:20 PM","11/11/2021 9:59:56 PM","CmRcService/ROCRDBROKER01;CmRcService/ROCRDBroker01.HS.wvu-ad.wvu.edu;TERMSRV/ROCRDBroker01.HS.wvu-ad.wvu.edu;TERMSRV/ROCRDBROKER01;WSMAN/ROCRDBroker01.HS.wvu-ad.wvu.edu;WSMAN/ROCRDBroker01;RestrictedKrbHost/ROCRDBROKER01;HOST/ROCRDBROKER01;RestrictedKrbHost/ROCRDBroker01.HS.wvu-ad.wvu.edu;HOST/ROCRDBroker01.HS.wvu-ad.wvu.edu","CN=ROCRDBROKER01,OU=RDSH,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSTS1$","HSTS1","10/16/2017 2:28:39 PM","3/10/2021 2:02:26 PM","TERMSRV/HSTS1;TERMSRV/hsts1.HS.wvu-ad.wvu.edu;WSMAN/hsts1;WSMAN/hsts1.HS.wvu-ad.wvu.edu;RestrictedKrbHost/HSTS1;HOST/HSTS1;RestrictedKrbHost/hsts1.HS.wvu-ad.wvu.edu;HOST/hsts1.HS.wvu-ad.wvu.edu","CN=HSTS1,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOLEPROXYOLD$","SOLEPROXYOLD","3/18/2009 1:05:56 PM","7/29/2019 3:23:42 PM","HOST/SOLEPROXYOld.HS.wvu-ad.wvu.edu;HOST/SOLEPROXYOLD","CN=SOLEPROXYOLD,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS2$","CMS2","8/21/2009 12:36:06 PM","7/29/2019 3:23:42 PM","TERMSRV/CMS2.HS.wvu-ad.wvu.edu;TERMSRV/CMS2;HOST/CMS2;HOST/CMS2.HS.wvu-ad.wvu.edu","CN=CMS2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"KONDRLA$","KONDRLA","4/10/2008 12:11:42 PM","8/9/2021 2:45:01 PM","WSMAN/kondrla;WSMAN/kondrla.HS.wvu-ad.wvu.edu;CmRcService/kondrla.HS.wvu-ad.wvu.edu;CmRcService/KONDRLA;TERMSRV/kondrla.HS.wvu-ad.wvu.edu;SMTPSVC/kondrla.HS.wvu-ad.wvu.edu;RestrictedKrbHost/kondrla.HS.wvu-ad.wvu.edu;HOST/kondrla.HS.wvu-ad.wvu.edu;TERMSRV/KONDRLA;RestrictedKrbHost/KONDRLA;SMTPSVC/KONDRLA;HOST/KONDRLA","CN=KONDRLA,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS1$","CMS1","2/1/2010 4:57:35 PM","7/29/2019 3:23:42 PM","WSMAN/CMS1.HS.wvu-ad.wvu.edu;TERMSRV/CMS1.HS.wvu-ad.wvu.edu;HOST/CMS1.HS.wvu-ad.wvu.edu;WSMAN/CMS1;TERMSRV/CMS1;HOST/CMS1","CN=CMS1,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMS3$","CMS3","2/16/2010 10:04:26 PM","7/29/2019 3:23:43 PM","WSMAN/cms3.HS.wvu-ad.wvu.edu;TERMSRV/cms3.HS.wvu-ad.wvu.edu;HOST/cms3.HS.wvu-ad.wvu.edu;WSMAN/CMS3;TERMSRV/CMS3;HOST/CMS3","CN=CMS3,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"VENUS$","VENUS","3/18/2009 5:48:27 AM","7/29/2019 3:23:43 PM","TERMSRV/VENUS;TERMSRV/Venus.HS.wvu-ad.wvu.edu;MSSQLSvc/Venus.HS.wvu-ad.wvu.edu:49188;SMTPSVC/Venus.HS.wvu-ad.wvu.edu;SMTPSVC/VENUS;HOST/VENUS;HOST/Venus.HS.wvu-ad.wvu.edu","CN=VENUS,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
