#TYPE Selected.System.IO.FileInfo
"FullName","LastWriteTime","SizeInGB"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store\backup\eCAT3.3.vdi","7/24/2012 2:24:21 PM","79.11"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store\backup\eCat-112015\.VirtualBox\HardDisks\Windows.vdi","2/3/2011 3:33:18 PM","30.86"
"\\hs.wvu-ad.wvu.edu\public\bioc\dsmith2\Outlook Archive\archive-WVU.pst","11/7/2017 5:59:11 PM","6.74"
"\\hs.wvu-ad.wvu.edu\public\bioc\SmithLab\Network Backups\dmsmithlab1 backup\dmsmithlab1-from-syn2\Downloads\ZENblue3-1_ZENblack_3-0SR-lite.iso","12/5/2019 3:18:17 PM","5.48"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store\backup\eCat-112015\.VirtualBox\HardDisks\eCAT3.3.vdi","11/17/2015 2:15:05 PM","5.44"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store_old\RNA-seq\Retina\Stoilov-19773754\Aipl1-883-20512544\alignments\Aipl1-883.alignments.bam","1/27/2015 5:30:30 PM","5.06"
"\\hs.wvu-ad.wvu.edu\public\bioc\baw0033\Microscopy\090318 VPC overnight timelapse\VPC overnight timelapse.nd2","9/4/2018 9:32:19 AM","4.86"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store_old\RNA-seq\Retina\Stoilov-19773754\BG-wt-1-20479800\alignments\BG-wt-1.alignments.bam","1/27/2015 5:18:22 PM","4.78"
"\\hs.wvu-ad.wvu.edu\public\bioc\Public - New Server Folder\dmcdonnell\Old\From Server\spoulson\olderPC-Win7upgrade\documents\My Virtual Machines\XP Running IE6\XP Running IE6 Hard Disk.vhd","10/14/2009 11:15:10 AM","4.76"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store_old\RNA-seq\Retina\Stoilov-19773754\BG-wt-4-20479861\alignments\BG-wt-4.alignments.bam","1/27/2015 5:28:26 PM","4.68"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store_old\RNA-seq\Retina\Stoilov-19773754\BG-wt-2-20510571\alignments\BG-wt-2.alignments.bam","1/27/2015 5:21:19 PM","4.56"
"\\hs.wvu-ad.wvu.edu\public\bioc\Public - New Server Folder\dmcdonnell\Old\Old User Folders\Lana_Files\EmailArchives\migrated.pst","7/3/2017 5:06:02 PM","4.54"
"\\hs.wvu-ad.wvu.edu\public\bioc\lyoho\OutlookFiles2015\Outlook-GW-Archive\migrated.pst","2/2/2015 10:45:07 AM","4.54"
"\\hs.wvu-ad.wvu.edu\public\bioc\jschupp\Jane-BackupFiles\Downloads\workshop_2016_bgal.zip","4/5/2017 2:54:33 PM","4.48"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store_old\RNA-seq\Retina\Stoilov-19773754\Aipl1-885-20479836\alignments\Aipl1-885.alignments.bam","1/27/2015 5:23:40 PM","4.38"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store_old\RNA-seq\Retina\Stoilov-19773754\Aipl1-884-20479844\alignments\Aipl1-884.alignments.bam","1/27/2015 5:25:18 PM","4.28"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store_old\RNA-seq\Retina\Stoilov-19773754\BG-wt-3-20507667\alignments\BG-wt-3.alignments.bam","1/27/2015 5:31:23 PM","4.24"
"\\hs.wvu-ad.wvu.edu\public\bioc\dsmith2\Outlook Archive\archive-WVU.bak","11/6/2012 3:03:19 PM","3.97"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\eCAT_store_old\RNA-seq\Retina\Stoilov-19773754\Aipl1-my22-pl56-20479747\alignments\Aipl1-my22-pl56.alignments.bam","1/27/2015 5:15:18 PM","3.82"
"\\hs.wvu-ad.wvu.edu\public\bioc\Stoilov Lab\Windows10_iso\Windows.iso","10/12/2018 6:49:12 PM","3.8"
