jcj0017,66080,66048,UAC Changed
ajdailey,66048,66048,No UAC change
lmeades,66080,66048,UAC Changed
dethompson,66048,66048,No UAC change
TMA_Web_Access,66080,66048,UAC Changed
cpatterson,66048,66048,No UAC change
tma,66048,66048,No UAC change
jrk0021,66080,66048,UAC Changed
jdavis36,66048,66048,No UAC change
rpowers2-hsc,66048,66048,No UAC change
pakinsley,66048,66048,No UAC change
rshart,66048,66048,No UAC change
wlcress,66048,66048,No UAC change
wgmeli,66050,66050,No UAC change
mccollins,66048,66048,No UAC change
admichael,66048,66048,No UAC change
jhill-hsc,66048,66048,No UAC change
hsc-electric,66048,66048,No UAC change
akstatler,66048,66048,No UAC change
securityoffice,66048,66048,No UAC change
blaldrich,66048,66048,No UAC change
kbryner,66080,66048,UAC Changed
alemmon,66080,66048,UAC Changed
cpesparzavidal,66082,66050,UAC Changed
hscsafetyoffice,66080,66048,UAC Changed
elbreedlove,66048,66048,No UAC change
crstevens,66050,66050,No UAC change
rtgregg,66048,66048,No UAC change
multiple,66080,66048,UAC Changed
tfortuna,66080,66048,UAC Changed
thhussion,66080,66048,UAC Changed
baarnold,66082,66050,UAC Changed
micupp,66080,66048,UAC Changed
jjones,66080,66048,UAC Changed
jbricker,66080,66048,UAC Changed
traddish,66082,66050,UAC Changed
kesque,66080,66048,UAC Changed
hscpaging,66080,66048,UAC Changed
lneyman,66080,66048,UAC Changed
tdavis-hsc,66048,66048,No UAC change
ststclair,66080,66048,UAC Changed
rmobley,66080,66048,UAC Changed
WWingrove,66048,66048,No UAC change
cjolliffe,66082,66050,UAC Changed
mhsummers,66080,66048,UAC Changed
djrichards,66080,66048,UAC Changed
gfdavis,66080,66048,UAC Changed
thertzog,66082,66050,UAC Changed
jawolfe,66080,66048,UAC Changed
fwaxler,66080,66048,UAC Changed
rlcrane,66048,66048,No UAC change
wsypolt,66082,66050,UAC Changed
nwilson,66080,66048,UAC Changed
stprince,66048,66048,No UAC change
rcjones,66080,66048,UAC Changed
gawest,66048,66048,No UAC change
gfrum,66080,66048,UAC Changed
casuper,66080,66048,UAC Changed
beflickner,66050,66050,No UAC change
tdewitt,66082,66050,UAC Changed
jaaustin,66048,66048,No UAC change
hsctce,66080,66048,UAC Changed
njm0005,66082,66050,UAC Changed
rconner-hsc,66048,66048,No UAC change
jlrobinson,66048,66048,No UAC change
jridgway-hsc,66048,66048,No UAC change
casmith,66048,66048,No UAC change
meconference,66048,66048,No UAC change
prshaffer,66048,66048,No UAC change
fae,66048,66048,No UAC change
tlhaldeman,66048,66048,No UAC change
shpaugh,66048,66048,No UAC change
jcr0010,66080,66048,UAC Changed
dedemastes,66080,66048,UAC Changed
kcampbell,66080,66048,UAC Changed
rhaley2,66080,66048,UAC Changed
tlneyman,66080,66048,UAC Changed
mcramer2,66080,66048,UAC Changed
jshaffer2,66080,66048,UAC Changed
jdhaldeman,66048,66048,No UAC change
djolliffe,66080,66048,UAC Changed
frs0003,66080,66048,UAC Changed
