"Name","Enabled","DistinguishedName","OperatingSystemName"
"HSCSURG5FCF","False","CN=HSCSURG5FCF,OU=Surgery,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSSPH8561","True","CN=HSSPH8561,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"CWVU2SG53M11","True","CN=CWVU2SG53M11,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"llroth-yoga","True","CN=llroth-yoga,OU=ITS,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-WVUCPRC-0C67","True","CN=HS-WVUCPRC-0C67,OU=WVUCPRC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"CWVUMP-06XJLC","True","CN=CWVUMP-06XJLC,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"CWVUBWPDFX1","True","CN=CWVUBWPDFX1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"CWVU9BVLWL1","True","CN=CWVU9BVLWL1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSSPHTMD-YG","True","CN=HSSPHTMD-YG,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"DINAS_SURFACE","True","CN=DINAS_SURFACE,OU=Ortho,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"SPH-PARKER-BH","True","CN=SPH-PARKER-BH,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-HSTAEVALUATI","True","CN=HS-HSTAEVALUATI,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSSPHJAW-WIN8LT","True","CN=HSSPHJAW-WIN8LT,OU=MGMT,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"MANDY_LAPTOP","False","CN=MANDY_LAPTOP,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSCWVCTSIF843","True","CN=HSCWVCTSIF843,OU=WVCTSI,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"LindaBiseWVU","True","CN=LindaBiseWVU,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"ACHESTER","True","CN=ACHESTER,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"SPH-HIYAN","True","CN=SPH-HIYAN,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-SPH-SKUHL-YG","True","CN=HS-SPH-SKUHL-YG,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
