"Name","Enabled","DistinguishedName","OperatingSystemName"
"RDTP-GYFSFZ1","True","CN=RDTP-GYFSFZ1,OU=RDTP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"RDTP-GYCRFZ1","True","CN=RDTP-GYCRFZ1,OU=RDTP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSPSP0E86","True","CN=HSPSP0E86,OU=SOP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3D7","True","CN=HSHSTADB3D7,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSAVP0369","True","CN=HSAVP0369,OU=AVP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSSPHBIOS-DL","True","CN=HSSPHBIOS-DL,OU=BIOSTAT,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSBRNIC958","True","CN=HSBRNIC958,OU=BRNI,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSMEDINFDIS5D71","True","CN=HSMEDINFDIS5D71,OU=Med,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSPEDS0E81","True","CN=HSPEDS0E81,OU=Pediatrics,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSPeds1636","True","CN=HSPeds1636,OU=Pediatrics,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"hssphmll-lt","True","CN=hssphmll-lt,OU=MGMT,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"CWVU940CPY1","True","CN=CWVU940CPY1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB41D","True","CN=HSHSTADB41D,OU=SON,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"hvac-facil","True","CN=hvac-facil,OU=Facilities,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSRADE241","True","CN=HSRADE241,OU=Radiology,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-OT-MJAYNES","True","CN=HS-OT-MJAYNES,OU=Human Performance,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSSOP-PONTELAPT","True","CN=HSSOP-PONTELAPT,OU=SOP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSSHPITKH-VT","True","CN=HSSHPITKH-VT,OU=SPH Students,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSPEDS2587","True","CN=HSPEDS2587,OU=Pediatrics,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"YAGAZIE-PC","True","CN=YAGAZIE-PC,OU=Biochemistry,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSPEDSF674","True","CN=HSPEDSF674,OU=Pediatrics,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"MBRCCDBOATMAN","True","CN=MBRCCDBOATMAN,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"LAURI","True","CN=LAURI,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"PEDS-LEFEBER","True","CN=PEDS-LEFEBER,OU=Pediatrics,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSNURS6F1E","True","CN=HSNURS6F1E,OU=SON,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-HPERF-82AA","True","CN=HS-HPERF-82AA,OU=Human Performance,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSMED9A7D","True","CN=HSMED9A7D,OU=Med,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSMEDINFDIS1BB8","True","CN=HSMEDINFDIS1BB8,OU=Med,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"KONDRLA-SURFACE","True","CN=KONDRLA-SURFACE,OU=Networking,OU=ITS,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSNEURO987F","True","CN=HSNEURO987F,OU=Neurology,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSBIOSCI024F","True","CN=HSBIOSCI024F,OU=Biochemistry,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
