"PrinterName","whenCreated","whenChanged","SamAccountName","distinguishedName"
"3040-hp4100 Group","8/4/2010 4:38:24 PM","2/18/2021 9:29:05 AM","3040-hp4100 Group","CN=3040-hp4100 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"G350-brother-9340cdw Group","5/7/2010 3:22:18 PM","2/18/2021 9:29:06 AM","G350-brother-9340cdw Group","CN=G350-brother-9340cdw Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g280a-minoltac25 Group","10/18/2012 2:55:21 PM","2/18/2021 9:29:06 AM","g280a-minoltac25 Group","CN=g280a-minoltac25 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g281-hp2840","8/15/2011 11:34:03 AM","2/18/2021 9:29:06 AM","g281-hp2840","CN=g281-hp2840,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"B040-HP5000 Group","9/3/2008 3:02:53 PM","2/18/2021 9:29:06 AM","B040-HP5000","CN=B040-HP5000 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1137a-minolta Group","9/3/2008 3:02:52 PM","2/18/2021 9:29:05 AM","1137a-minolta","CN=1137a-minolta Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2235-hp2055dn Group","12/5/2011 10:18:41 AM","2/18/2021 9:29:05 AM","2235-hp2055dn Group","CN=2235-hp2055dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2267-HPM401n Group","2/12/2014 10:20:03 AM","2/18/2021 9:29:05 AM","2267-HPM401n Group","CN=2267-HPM401n Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"brni-hpcp4025 Group","6/1/2018 1:53:37 PM","2/18/2021 9:29:06 AM","brni-hpcp4025 Group","CN=brni-hpcp4025 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma2-204-bro-9440 Group","3/16/2009 10:21:43 AM","2/18/2021 9:29:06 AM","erma2-204-bro-9440 Group","CN=erma2-204-bro-9440 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
