SamAccountName,extensionAttribute10
SDA18001,Resource
sdw16013-kavo,Resource
SDA18005,Resource
SDW13083-PD,Resource
SDA18011,Resource
SDW13082-PD,Resource
SDA18010,Resource
SDA18012,Resource
SDA18002,Resource
SDW15075-LC,Resource
AA-krodney-test1,Resource
SDW15072-LC,Resource
SDW15074-LC,Resource
SDW15067-LC,Resource
SDW15076-LC,Resource
SDW16035-EN,Resource
SDW15065-LC,Resource
SDW15071-LC,Resource
SDW15066-LC,Resource
SDW15070-LC,Resource
SDW15068-LC,Resource
SDW15069-LC,Resource
SDW15073-LC,Resource
SDL16043-OS,Resource
SOD-STC-068,Resource
SDL16046-PD,Resource
SDL16045-OS,Resource
SDL16035-OS,Resource
SDL16034-PD,Resource
SDL16042-OS,Resource
SOD-OS-1179D,Resource
SDL16040-OS,Resource
SOD-CS-1041C-1,Resource
SDL16041-OS,Resource
SOD-CS-1041C-3,Resource
SOD-CS-1041C-5,Resource
SDL16049-EN,Resource
SDL16032-PD,Resource
SOD-CS-1041C-2,Resource
SDW13085-EN,Resource
SOD-STC-4513-05,Resource
SDL16039-OS,Resource
SDL16053-DO,Resource
SOD-CS-1041C-4,Resource
SDL2012002,Resource
SDL16038-OS,Resource
SOD-STC-4513-08,Resource
SDL16037-OS,Resource
SDL2016002,Resource
SDL16044-OS,Resource
SDW2013009,Resource
SDL16036-OS,Resource
SDL2012003,Resource
SOD-STC-019,Resource
SDW15021-LC,Resource
SDW15011-LC,Resource
SDW13117-PR,Resource
SDW15016-LC,Resource
SDW15025-LC,Resource
SDL16025-LC,Resource
SDW15012-LC,Resource
SDW15018-LC,Resource
SDW15017-LC,Resource
SDW15022-LC,Resource
SOD-OS-1179B,Resource
SDW15023-LC,Resource
SOD-OS-1179C,Resource
SDW15015-LC,Resource
SOD-OS-1181C,Resource
SDW15024-LC,Resource
SDL16028-LC,Resource
sod-stc-gdx700,Resource
SDW15027-LC,Resource
SDW12015-PD,Resource
SOD-STC-4513-SX,Resource
SDL16029-LC,Resource
SDL16031-DS,Resource
SDW15028-LC,Resource
SDL16030-DS,Resource
SDL16027-LC,Resource
SDL16014-PD,Resource
SDW15026-LC,Resource
SOD-STC-003,Resource
SDW15013-LC,Resource
SOD-LC-B03,Resource
SDW15019-LC,Resource
SOD-EN-02,Resource
SDW15031-LC,Resource
SOD-RD-EMRG01,Resource
SDL16024-LC,Resource
SOD-STC-012,Resource
SDW15030-LC,Resource
SOD-LC-D08,Resource
SDW15014-LC,Resource
SOD-LC-A013,Resource
SDW15020-LC,Resource
SOD-EN-05,Resource
SDW15029-LC,Resource
SOD-LC-D01,Resource
SDL16026-LC,Resource
SOD-LC-A02,Resource
SOD-LC-B013,Resource
SDW13081-DS,Resource
SOD-LC-C012,Resource
SDW13084,Resource
SOD-SCR-7,Resource
SOD-LC-C05,Resource
SOD-LC-A010,Resource
SOD-PSP2,Resource
SOD-LC-B3,Resource
SOD-LC-C04,Resource
SDW2013010,Resource
SOD-LC-B07,Resource
SDW2013001,Resource
SDA17009-OS,Resource
SOD-STC-007,Resource
SDW2013002,Resource
SDW2013013,Resource
SOD-DG-10,Resource
SDW2013003,Resource
SDW2013017,Resource
SDL16013-EN,Resource
SOD-EN-OP3,Resource
SDW2013012,Resource
SDL16010-EN,Resource
SDW13056-DG,Resource
SOD-LC-D011,Resource
SDW2013016,Resource
SDL16012-EN,Resource
SDW13058-DG,Resource
SOD-STC-015,Resource
SDW2013011,Resource
SDL16008-EN,Resource
SDW13047-DG,Resource
SOD-EN-OP2,Resource
SDL16007-EN,Resource
SDW13057-DG,Resource
SOD-LC-D010,Resource
SDL16014-EN,Resource
SDW13059-DG,Resource
SOD-LC-A04,Resource
SDL16009-EN,Resource
SDW13046-PE,Resource
SOD-LC-C010,Resource
SDL16006-EN,Resource
SOD-LC-C01,Resource
SDW13049-EN,Resource
SOD-LC-B09,Resource
SDL16004-EN,Resource
SOD-STC-013,Resource
SDL16005-EN,Resource
SOD-EN-16,Resource
SDL16011-EN,Resource
SOD-DG-2,Resource
SDL16008,Resource
SOD-SCR-9,Resource
SDL16040,Resource
SOD-LC-C011,Resource
SDL16041,Resource
SOD-SCR-6,Resource
SDL16036,Resource
SOD-LC-A07,Resource
SOD-DG-8,Resource
SDL16016-DS,Resource
SOD-LC-D02,Resource
SDW12009-DS,Resource
SDL16023-DS,Resource
SOD-STC-CONE,Resource
SDW12008-DS,Resource
SDL16021-DS,Resource
SOD-LC-D04,Resource
SDW12014-DS,Resource
SDL16020-DS,Resource
SOD-LC-D03,Resource
SDW12012-DS,Resource
SDL16017-DS,Resource
SOD-STC-008,Resource
SDW12007-DS,Resource
SDL16019-DS,Resource
SOD-LC-C014,Resource
SDW12011-DS,Resource
SDL16022-DS,Resource
SOD-LC-C03,Resource
SDW12002-DS,Resource
SDL16018-DS,Resource
SOD-DG-9,Resource
SDW13034-OR,Resource
SOD-EN-XRAY02,Resource
SDW13035-OR,Resource
SDL16015-DS,Resource
SOD-LC-A08,Resource
SDW12004-DS,Resource
SOD-LC-A012,Resource
SDW12006-DS,Resource
SOD-LC-B012,Resource
SOD-DG-1007a-2,Resource
SDW12003-DS,Resource
SOD-STC-006,Resource
SOD-OR-4,Resource
SDW12001-DS,Resource
