DistinguishedName,GroupCategory,GroupScope,Name,ObjectClass,ObjectGUID,SamAccountName,SID
"CN=FIMSyncAdmins,OU=HS Resource Accounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,FIMSyncAdmins,group,8ace5fef-b0be-43c2-87bb-7c4489bcfff6,FIMSyncAdmins,S-1-5-21-865322659-4255640127-3857865232-43153
"CN=ITS Web Infoblox,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,ITS Web Infoblox,group,d6f37a53-5285-479c-afbe-8ed389c5198f,ITS Web Infoblox,S-1-5-21-865322659-4255640127-3857865232-56118
"CN=$Database and Application Development Services Group,OU=Database and Application Development Services,OU=Application and Web Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,$Database and Application Development Services Group,group,a332198d-c15c-444f-b9d6-5fbd484da112,$Database and Application Development Services Group,S-1-5-21-865322659-4255640127-3857865232-67151
"CN=SCCM Windows Update Group,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,SCCM Windows Update Group,group,620d62e1-9b0f-4f40-a74f-40a23f25e08e,SCCM Windows Update Group,S-1-5-21-865322659-4255640127-3857865232-82817
"CN=HS Group Policy Admins,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,HS Group Policy Admins,group,49dcedbf-6099-49c4-994c-04c8ec2e81f0,HS Group Policy Admins,S-1-5-21-865322659-4255640127-3857865232-95345
"CN=Network Infrastructure Group,OU=Network Infrastructure,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Universal,Network Infrastructure Group,group,1918f50a-4ffc-48c6-afaf-722fd51916ed,Network Infrastructure Group,S-1-5-21-865322659-4255640127-3857865232-12722
"CN=Network and Voice Services Group,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Universal,Network and Voice Services Group,group,7db0cb0d-05c8-4bdb-9d95-6c714b6cc2c6,Network and Voice Services Group,S-1-5-21-865322659-4255640127-3857865232-12719
"CN=Horizon Cloud Administrators,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,Horizon Cloud Administrators,group,d8909f0e-c7e5-426f-8e17-b331ee25d2ed,Horizon Cloud Administrators,S-1-5-21-865322659-4255640127-3857865232-108349
"CN=Storage Replica Administrators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,Storage Replica Administrators,group,5db69305-e9df-4a2e-b4f8-4cbf31497c0a,Storage Replica Administrators,S-1-5-32-582
"CN=HSC Information Technology Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,HSC Information Technology Services,group,c67d4f42-a379-490f-9e72-0dc6e5f2b5ac,HSC Information Technology Services,S-1-5-21-865322659-4255640127-3857865232-140038
"CN=Horizon Helpdesk Console,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Universal,Horizon Helpdesk Console,group,da03d0e8-527e-411c-9880-d94d67ce9ce2,Horizon Helpdesk Console,S-1-5-21-865322659-4255640127-3857865232-134801
"CN=HSCPowerShellWrite,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,HSCPowerShellWrite,group,23c54743-fc93-465a-bd30-6272c9ef4e47,HSCPowerShellWrite,S-1-5-21-865322659-4255640127-3857865232-132883
"CN=HSCPowerShellRead,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",Security,Global,HSCPowerShellRead,group,dc36e2a9-9246-41c6-ab27-001a4f23a60c,HSCPowerShellRead,S-1-5-21-865322659-4255640127-3857865232-132884
