"SamAccountName","SourceOU","TargetOU"
"Parker-Schaupp Share Group","HSC/SOM/RAD","HS Users/HSC/SOM/RAD"
"$RADComputers","HSC/SOM/RAD/Computers","HS Users/HSC/SOM/RAD/Computers"
"Mercer-Hollar Share Group","HSC/SOM/RAD","HS Users/HSC/SOM/RAD"
"RAD-Billing","HSC/SOM/RAD","HS Users/HSC/SOM/RAD"
"$RAD","HSC/SOM/RAD","HS Users/HSC/SOM/RAD"
"$RadTest","HSC/SOM/RAD/RadTest","HS Users/HSC/SOM/RAD/RadTest"
"g280a1-minolta-c224 Group","HSC/SOM/UHS","HS Users/HSC/SOM/UHS"
"$UHS","HSC/SOM/UHS","HS Users/HSC/SOM/UHS"
"$NEUSCI","HSC/SOM/NEUSCI","HS Users/HSC/SOM/NEUSCI"
"2163e-ricoh-im5000 Group","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"Center of Excellence in Womens Health","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
