"SamAccountName","SourceOU","TargetOU"
"3812-hallway-minoltac364e Group","HSC/SPH","HS Users/HSC/SPH"
"SPH SAS Users","HSC/SPH","HS Users/HSC/SPH"
"3831-HPCLJ2605dn Group","HSC/SPH","HS Users/HSC/SPH"
"SPH Student Worker","HSC/SPH","HS Users/HSC/SPH"
"1420-bizhub350","HSC/SPH","HS Users/HSC/SPH"
"$EDPROG","HSC/SPH/EDPROG","HS Users/HSC/SPH/EDPROG"
"$oseahr","HSC/SPH/PRC/OSEAHR","HS Users/HSC/SPH/PRC/OSEAHR"
"PRC Group","HSC/SPH/PRC","HS Users/HSC/SPH/PRC"
"$PRC","HSC/SPH/PRC","HS Users/HSC/SPH/PRC"
"SPH Central Admin","HSC/SPH","HS Users/HSC/SPH"
"$OHSR","HSC/SPH/OHSR","HS Users/HSC/SPH/OHSR"
"g281a-ricoh-imc4500 Group","HSC/SPH/g281a-ricoh4504 Group","HS Users/HSC/SPH/g281a-ricoh4504 Group"
"$IRAP","HSC/SPH/COA/IRAP","HS Users/HSC/SPH/COA/IRAP"
"$COA","HSC/SPH/COA","HS Users/HSC/SPH/COA"
"$WELLNESS","HSC/SPH/WELLNESS","HS Users/HSC/SPH/WELLNESS"
"wellness_db","HSC/SPH/WELLNESS","HS Users/HSC/SPH/WELLNESS"
"Wellness","HSC/SPH/WELLNESS Group","HS Users/HSC/SPH/WELLNESS Group"
"Grand Rounds","HSC/SPH","HS Users/HSC/SPH"
"Epidemiology Capstone Share Group","HSC/SPH","HS Users/HSC/SPH"
"SPH Upload Group","HSC/SPH","HS Users/HSC/SPH"
"8722-HP3210","HSC/SPH Group","HS Users/HSC/SPH Group"
"SPH Share Traverse Group","HSC/SPH","HS Users/HSC/SPH"
"SPH P&T Admin","HSC/SPH","HS Users/HSC/SPH"
"SPH Grants","HSC/SPH","HS Users/HSC/SPH"
"$SPH","HSC/SPH","HS Users/HSC/SPH"
"SPH OLLI External Users","HSC/SPH","HS Users/HSC/SPH"
"3830b-hp2015dn Group","HSC/SPH","HS Users/HSC/SPH"
"DPM Share Student Group","HSC/SPH","HS Users/HSC/SPH"
"DPM Misra Share Group","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH Papers and Associated Documents Group","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH Public Share External Users","HSC/SPH","HS Users/HSC/SPH"
"3831-hp-m475dw Group","HSC/SPH","HS Users/HSC/SPH"
"$IOEH","HSC/SPH/OCCMED","HS Users/HSC/SPH/OCCMED"
"HSC IOEH PC Student","HSC/SPH/OCCMED","HS Users/HSC/SPH/OCCMED"
"HSC IOEH PC Faculty","HSC/SPH/OCCMED","HS Users/HSC/SPH/OCCMED"
"HSC IOEH PC Staff","HSC/SPH/OCCMED","HS Users/HSC/SPH/OCCMED"
"3860-lexmarke360dn Group","HSC/SPH/OCCMED","HS Users/HSC/SPH/OCCMED"
"HSC IOEH PC Resident","HSC/SPH/OCCMED","HS Users/HSC/SPH/OCCMED"
"3840-ricohc5503 Group","HSC/SPH/OCCMED","HS Users/HSC/SPH/OCCMED"
"3841-hp8500 Group","HSC/SPH","HS Users/HSC/SPH"
"$BIOSTAT","HSC/SPH/BIOSTAT","HS Users/HSC/SPH/BIOSTAT"
"$EPIDEM","HSC/SPH/EPIDEM","HS Users/HSC/SPH/EPIDEM"
"2267-minoltac364e","HSC/SPH","HS Users/HSC/SPH"
"SPH Marketing Group","HSC/SPH","HS Users/HSC/SPH"
"$OEHS","HSC/SPH/OEHS","HS Users/HSC/SPH/OEHS"
"WVU HSC Global Engagement Office Group","HSC/SPH/OEHS","HS Users/HSC/SPH/OEHS"
"3810e-minoltac224e Group","HSC/SPH","HS Users/HSC/SPH"
"SPH Classfiles Users","HSC/SPH","HS Users/HSC/SPH"
"icrc-620-minolta-c3110 Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"icrc-28--minoltac3110 Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"icrc-minolta-c3100p Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"HSC ICRC PC STUDENTS","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"icrc-minolta-c3110 Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"CREM","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"icrc-12-minolta-c3110 Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"$CREM","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"icrc-22-minolta-c3100p Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"icrc-27-minolta-c3100p Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"icrc-minolta-c3100 Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"SPH WVUCTSI Share Group","HSC/SPH","HS Users/HSC/SPH"
"g103l-minoltac368","HSC/SPH","HS Users/HSC/SPH"
"3831b-hp3600n","HSC/SPH","HS Users/HSC/SPH"
"$HPML","HSC/SPH/HPML","HS Users/HSC/SPH/HPML"
"$SBHS","HSC/SPH/SBHS","HS Users/HSC/SPH/SBHS"
"HSC SPH Strategic Planning Taskforce Group","HSC/SPH","HS Users/HSC/SPH"
"HSC SOM","HSC/SOM","HS Users/HSC/SOM"
"$EXERPHYS","HSC/SOM/EXERPHYS","HS Users/HSC/SOM/EXERPHYS"
"Exerphys Active Share Group","HSC/SOM/EXERPHYS","HS Users/HSC/SOM/EXERPHYS"
"RGT Study Group","HSC/SOM/EXERPHYS","HS Users/HSC/SOM/EXERPHYS"
"$OPTHA","HSC/SOM/OPTHA","HS Users/HSC/SOM/OPTHA"
"4422-minolta423","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Peds Share Traverse Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Genetic Testing Share Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"2350F-Cognitive-CXD2-1000 Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"PediatricsEndocrinereferals Share","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"$BIRTHSCORE","HSC/SOM/PEDS/BIRTHSCORE","HS Users/HSC/SOM/PEDS/BIRTHSCORE"
"HSC Pediatrics AOS Study Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"PEDS Cardiology Grants Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Pediatric Cardiology RW Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"g190-xerox3600","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Pediatrics","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Peds Resident File Share Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"HSC PEDS Cardiology Outreach Share","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Genetics Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
