"RenderingMode","PrinterStatus","Type","DeviceType","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","BranchOfficeOfflineLogSizeMB","Comment","ComputerName","Datatype","DefaultJobPriority","DisableBranchOfficeLogging","DriverName","JobCount","KeepPrintedJobs","Location","PermissionSDDL","PortName","PrintProcessor","Priority","Published","SeparatorPageFile","Shared","ShareName","StartTime","UntilTime","WorkflowPolicy","PSComputerName","CimClass","CimInstanceProperties","CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"CRH1-OutPatReg",,,,,,,"","HSPrint4","RAW","0",,"RICOH PCL6 V4 UniversalDriver V2.6","0","False","",,"172.17.24.59","winprint","1","False","","True","CRH1-OutPatReg","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"CRH1-NeuroPsyTest",,,,,,,"","HSPrint4","RAW","0",,"RICOH PCL6 V4 UniversalDriver V2.6","0","False","",,"172.17.24.77","winprint","1","False","","True","CRH1-NeuroPsyTest","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"CRH1-MedReports",,,,,,,"","HSPrint4","RAW","0",,"RICOH Aficio MP 301 PCL 6","0","False","",,"172.17.24.15","winprint","1","False","","True","CRH1-MedReports","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"CRH1-INTERVIEW",,,,,,,"","HSPrint4","RAW","0",,"RICOH SP 6430DN PCL 6","0","False","",,"172.17.24.82","winprint","1","False","","True","CRH1-INTERVIEW","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"CRH1-BUSIOFFICE",,,,,,,"","HSPrint4","RAW","0",,"RICOH PCL6 V4 UniversalDriver V2.6","0","False","",,"172.17.24.21","winprint","1","False","","True","CRH1-BUSIOFFICE","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"CRH1-BehavMain-Copy",,,,,,,"","HSPrint4","RAW","0",,"RICOH MP 7503 PCL 6","0","False","",,"172.17.24.19","winprint","1","False","","True","CRH1-BehavMain-Copy","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"8708-oracle",,,,,,,"MAP","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"8707-hplj.hsc.wvu.edu","hpcpp160","1","False","","True","8708-oracle","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"4526-ricoh4502",,,,,,,"MAP","HSPrint4","RAW","0",,"Gestetner MP C4502 PCL 6","0","True","",,"4526-ricoh4502","winprint","1","False","","True","4526-ricoh4502","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"3831b-hplaserjet-cp3525",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"3831b-hplaserjet-cp3525","hpcpp160","1","False","","True","3831b-hplaserjet-cp3525","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"2815-brother7860dw",,,,,,,"","HSPrint4","RAW","0",,"Brother MFC-7860DW Printer","0","False","",,"2815-brother7860dw","winprint","1","False","","True","2815-brother7860dw","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"2235-minolta",,,,,,,"","HSPrint4","RAW","0",,"KONICA MINOLTA C364SeriesPCL","0","False","",,"erma-g130-minolta-c364e","KOAYTJ_P","1","False","","True","2235-minolta","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"2222-otol",,,,,,,"MAP","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"4527-hp2605","hpcpp160","1","False","","True","2222-otol","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"2184-hplj2015dn",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"2184-hplj2015dn","hpcpp160","1","False","","True","2184-hplj2015dn","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"1814-dell2330dn",,,,,,,"","HSPrint4","RAW","0",,"Dell 2330dn Laser Printer XPS","0","False","",,"1814-dell2330dn","winprint","1","False","","True","1814-dell2330dn","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"1814-dell2145cn",,,,,,,"","HSPrint4","RAW","0",,"Dell 2145cn Color Laser MFP PCL6","0","False","",,"1814-dell2145cn","winprint","1","False","","True","1814-dell2145cn","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"1635-hp-2055dn",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"1635-hp-2055dn","hpcpp160","1","False","","True","1635-hp-2055dn","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"1614e-hp2035n",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"1614e-hp2035n","hpcpp160","1","False","","True","1614e-hp2035n","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
