"RenderingMode","PrinterStatus","Type","DeviceType","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","BranchOfficeOfflineLogSizeMB","Comment","ComputerName","Datatype","DefaultJobPriority","DisableBranchOfficeLogging","DriverName","JobCount","KeepPrintedJobs","Location","PermissionSDDL","PortName","PrintProcessor","Priority","Published","SeparatorPageFile","Shared","ShareName","StartTime","UntilTime","WorkflowPolicy","PSComputerName","CimClass","CimInstanceProperties","CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"vp-minolta",,,,,,,"","HSPrint1","RAW","0",,"KONICA MINOLTA C287SeriesPCL","0","False","vp",,"vp-minolta","winprint","1","True","","True","vp-minolta","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"simlab-printer",,,,,,,"","HSPrint1","RAW","0",,"KONICA MINOLTA C3100P PCL6","0","False","STEPS Control Room",,"simlab-printer","winprint","1","False","","True","simlab-printer","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"Send To OneNote 2016",,,,,,,"","HSPrint1","RAW","0",,"Send to Microsoft OneNote 16 Driver","0","False","",,"FILE:","winprint","1","True","","False","","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"RNI2-minolta-c224-CubeFarm",,,,,,,"","HSPrint1","RAW","0",,"KONICA MINOLTA C364SeriesPCL","0","False","",,"RNI2-minolta-c224-CubeFarm","KOAYTJ_P","1","False","","True","RNI2-minolta-c224-CubeFarm","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"rni2-back-c368",,,,,,,"","HSPrint1","RAW","0",,"KONICA MINOLTA C368SeriesPCL","0","False","",,"rni2-back-c368.hsc.wvu.edu","winprint","1","True","","True","rni2-back-c368","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"rni1-minolta-c368",,,,,,,"","HSPrint1","RAW","0",,"KONICA MINOLTA C368SeriesPCL","0","False","rni1",,"rni1-minolta-c368","winprint","1","True","","True","rni1-minolta-c368","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"rni-1N230-minolta-c224e",,,,,,,"","HSPrint1","RAW","0",,"KONICA MINOLTA C364SeriesPCL","0","False","",,"rni-1N230-minolta-c224e","KOAYTJ_P","1","False","","True","rni-1N230-minolta-c224e","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"RICOH MP C4504ex",,,,,,,"No Setting","HSPrint1","RAW","0",,"PCL6 V4 Driver for Universal Print","0","False","No Setting",,"WSD-628a07ff-a88d-4de2-80d3-c5f33149f8b5.006f","winprint","1","False","","False","","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"Psychology",,,,,,,"","HSPrint1","RAW","0",,"KONICA MINOLTA 754SeriesPCL","0","False","Life Sciences Building",,"10.51.25.80","KOAYKJ_P","1","True","","True","Psychology","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"psych-samsung-clp-680nd",,,,,,,"","HSPrint1","RAW","0",,"Samsung CLP-680 Series PCL6 Class Driver","0","False","",,"10.3.33.37","winprint","1","False","","True","psych-samsung-clp-680nd","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
