"RenderingMode","PrinterStatus","Type","DeviceType","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","BranchOfficeOfflineLogSizeMB","Comment","ComputerName","Datatype","DefaultJobPriority","DisableBranchOfficeLogging","DriverName","JobCount","KeepPrintedJobs","Location","PermissionSDDL","PortName","PrintProcessor","Priority","Published","SeparatorPageFile","Shared","ShareName","StartTime","UntilTime","WorkflowPolicy","PSComputerName","CimClass","CimInstanceProperties","CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"RICOH MP C6004ex",,,,,,,"No Setting","HSPrint2","RAW","0",,"RICOH MP C6004ex PCL 6","0","False","No Setting",,"WSD-47432d23-1d8f-45db-baee-68601144ad7a.006a","winprint","1","False","","False","","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"positive-health-minolta-c224e",,,,,,,"","HSPrint2","RAW","0",,"KONICA MINOLTA C364SeriesPCL","0","False","Dent's Run",,"positive-health-minolta-c224e","KOAYTJ_P","1","True","","True","positive-health-minolta-c224e","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"Microsoft XPS Document Writer",,,,,,,"","HSPrint2","RAW","0",,"Microsoft XPS Document Writer v4","0","False","",,"PORTPROMPT:","winprint","1","False","","False","","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"KONICA MINOLTA bizhub C3110(E4:1E:99)",,,,,,,"","HSPrint2","RAW","0",,"KONICA MINOLTA C3110 PCL6","0","False","",,"WSD-362f5b4c-9dc2-4286-8bec-d529578571bf.0033","winprint","1","False","","False","","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"icrc-hplj5-4",,,,,,,"","HSPrint2","RAW","0",,"HP LaserJet 5","0","False","icrc",,"icrc-hplj5-4","winprint","1","True","","True","icrc-hplj5-4","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hsc3-ortho-lb",,,,,,,"","HSPrint2","RAW","0",,"Cognitive Ci 2 inch 300 DPI DT","0","False","",,"hsc3-ortho-lb","winprint","1","False","","True","hsc3-ortho-lb","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"H-HSC1-UROLOGY-LB",,,,,,,"","HSPrint2","RAW","0",,"ZDesigner GK420t","0","False","H-HSC1",,"H-HSC1-UROLOGY-LB","winprint","1","True","","True","H-HSC1-UROLOGY-LB","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"g301-hplj4250dn",,,,,,,"","HSPrint2","RAW","0",,"HP LaserJet 4250 PCL6","0","False","g301",,"g301-hplj4250dn","hpzppwn7","1","True","","True","g301-hplj4250dn","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"TonerLow","Local","Print",,,,,,,,,"g281a-ricoh4504",,,,,,,"","HSPrint2","RAW","0",,"Gestetner MP C4503 PCL 6","0","False","g281a",,"g281a-ricoh4504","winprint","1","False","","True","g281a-ricoh4504","0","0",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"G279-Minolta-c3110",,,,,,,"","HSPrint2","RAW","0",,"KONICA MINOLTA C3110 PCL6","0","False","G279",,"G279-Minolta-c3110","winprint","1","True","","True","G279-Minolta-c3110","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
